,M00173,M00376,M00375,M00374,M00377,M00579,M00620
COMPLETE-SET-AND-BULK_mOTU_024,0.2592592592592593,0.0,0.0,0.19230769230769232,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_025,0.39814814814814814,0.0,0.0,0.21153846153846154,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_033,0.3333333333333333,0.0,0.0,0.23076923076923078,0.0,0.0,0.6428571428571429
COMPLETE-SET-AND-BULK_mOTU_038,0.3425925925925926,0.0,0.0,0.17307692307692307,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_043,0.42592592592592593,0.0,0.0,0.2692307692307692,0.0,0.0,0.8571428571428571
COMPLETE-SET-AND-BULK_mOTU_088,0.3425925925925926,0.0,0.0,0.17307692307692307,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_089,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.75
COMPLETE-SET-AND-BULK_mOTU_097,0.28703703703703703,0.0,0.0,0.25,0.0,0.0,0.5714285714285714
COMPLETE-SET-AND-BULK_mOTU_098,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6785714285714286
COMPLETE-SET-AND-BULK_mOTU_099,0.3425925925925926,0.0,0.0,0.21153846153846154,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_126,0.2222222222222222,0.0,0.0,0.11538461538461539,0.0,0.0,0.32142857142857145
COMPLETE-SET-AND-BULK_mOTU_136,0.2592592592592593,0.0,0.0,0.23076923076923078,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_146,0.3148148148148148,0.0,0.0,0.19230769230769232,0.0,0.0,0.5714285714285714
COMPLETE-SET-AND-BULK_mOTU_154,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6428571428571429
COMPLETE-SET-AND-BULK_mOTU_163,0.3703703703703704,0.0,0.0,0.23076923076923078,0.0,0.0,0.6785714285714286
COMPLETE-SET-AND-BULK_mOTU_172,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6428571428571429
COMPLETE-SET-AND-BULK_mOTU_174,0.2314814814814815,0.0,0.0,0.17307692307692307,0.0,0.0,0.5714285714285714
COMPLETE-SET-AND-BULK_mOTU_179,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6785714285714286
COMPLETE-SET-AND-BULK_mOTU_226,0.2314814814814815,0.0,0.0,0.21153846153846154,0.0,0.0,0.5357142857142857
COMPLETE-SET-AND-BULK_mOTU_233,0.3703703703703704,0.0,0.0,0.2692307692307692,0.0,0.0,0.6785714285714286
COMPLETE-SET-AND-BULK_mOTU_244,0.3425925925925926,0.0,0.0,0.21153846153846154,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_253,0.42592592592592593,0.0,0.0,0.2692307692307692,0.0,0.0,0.8571428571428571
COMPLETE-SET-AND-BULK_mOTU_261,0.3148148148148148,0.0,0.0,0.23076923076923078,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_265,0.3703703703703704,0.0,0.0,0.2692307692307692,0.0,0.0,0.7857142857142857
COMPLETE-SET-AND-BULK_mOTU_278,0.2314814814814815,0.0,0.0,0.17307692307692307,0.0,0.0,0.5
COMPLETE-SET-AND-BULK_mOTU_292,0.3148148148148148,0.0,0.0,0.23076923076923078,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_293,0.28703703703703703,0.0,0.0,0.21153846153846154,0.0,0.0,0.5714285714285714
COMPLETE-SET-AND-BULK_mOTU_319,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.7142857142857143
COMPLETE-SET-AND-BULK_mOTU_324,0.28703703703703703,0.0,0.0,0.25,0.0,0.0,0.5714285714285714
COMPLETE-SET-AND-BULK_mOTU_328,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_335,0.42592592592592593,0.0,0.0,0.2692307692307692,0.0,0.0,0.7142857142857143
COMPLETE-SET-AND-BULK_mOTU_345,0.45370370370370366,0.0,0.0,0.28846153846153844,0.0,0.0,0.75
COMPLETE-SET-AND-BULK_mOTU_352,0.42592592592592593,0.0,0.0,0.2692307692307692,0.0,0.0,0.8214285714285714
COMPLETE-SET-AND-BULK_mOTU_360,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_364,0.28703703703703703,0.0,0.0,0.21153846153846154,0.0,0.0,0.5357142857142857
COMPLETE-SET-AND-BULK_mOTU_368,0.3148148148148148,0.0,0.0,0.23076923076923078,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_369,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6785714285714286
COMPLETE-SET-AND-BULK_mOTU_375,0.3148148148148148,0.0,0.0,0.23076923076923078,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_378,0.3148148148148148,0.0,0.0,0.19230769230769232,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_380,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6428571428571429
COMPLETE-SET-AND-BULK_mOTU_381,0.2037037037037037,0.0,0.0,0.07692307692307693,0.0,0.0,0.32142857142857145
COMPLETE-SET-AND-BULK_mOTU_390,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_397,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.7142857142857143
COMPLETE-SET-AND-BULK_mOTU_402,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6071428571428571
COMPLETE-SET-AND-BULK_mOTU_407,0.3425925925925926,0.0,0.0,0.25,0.0,0.0,0.6071428571428571
